,Density,Molar Volume,Freely Rotatable Bonds,H Acceptors,H Donors,Molecular Weight,Polar Surface Area,Boiling Point
306,1.35,523.0,7.0,14.0,6.0,710.77,221.0,938.9
307,1.31,137.4,4.0,4.0,1.0,180.16,63.6,297.9
308,1.2,136.7,1.0,1.0,0.0,164.23,38.4,257.2
309,1.481,258.1,0.0,0.0,0.0,382.48,28.2,653.2
310,1.326,248.0,5.0,4.0,0.0,329.19,52.6,377.0
311,1.29,156.5,2.0,5.0,0.0,203.2,63.6,344.3
312,1.49,353.1,8.0,11.0,3.0,526.49,142.0,809.7
313,1.051,130.4,3.0,2.0,1.0,137.18,33.1,294.4
314,1.092,339.2,8.0,4.0,2.0,370.48,66.8,503.7
315,1.011,172.3,5.0,1.0,1.0,174.24,20.2,298.3
316,1.179,172.3,2.0,3.0,1.0,203.24,30.5,310.6
317,1.03,160.8,3.0,3.0,0.0,167.21,31.2,85.0
318,1.313,182.0,6.0,7.0,1.0,239.23,104.0,374.6
319,1.335,122.1,2.0,2.0,0.0,163.1,22.1,60.0
320,1.394,225.4,0.0,4.0,0.0,314.38,52.6,473.1
321,1.269,264.9,7.0,5.0,3.0,336.39,74.4,683.6
322,1.233,203.6,7.0,6.0,0.0,251.24,89.2,422.7
323,1.21,251.5,8.0,6.0,1.0,305.33,77.8,465.5
324,1.181,204.5,6.0,3.0,2.0,241.71,49.3,435.0
325,1.075,169.7,3.0,1.0,0.0,182.65,9.23,75.0
326,1.53,272.8,10.0,11.0,5.0,418.39,172.0,631.9
327,1.095,173.7,1.0,2.0,1.0,190.24,29.5,316.8
328,1.252,270.9,10.0,6.0,1.0,339.39,110.0,566.6
329,1.222,390.7,9.0,6.0,0.0,477.55,66.4,741.2
330,1.403,256.8,2.0,2.0,2.0,360.4,40.5,712.2
331,1.57,151.6,1.0,4.0,1.0,238.19,49.4,
332,1.372,294.6,5.0,8.0,0.0,404.37,110.0,539.9
333,1.39,470.1,11.0,14.0,1.0,657.06,191.0,677.5
334,1.47,157.7,1.0,6.0,1.0,233.22,78.2,449.9
335,1.3,236.2,5.0,4.0,1.0,307.31,89.5,402.9
336,1.078,406.8,9.0,3.0,0.0,438.56,27.7,583.5
337,1.307,208.2,4.0,5.0,2.0,272.3,67.4,519.8
338,1.244,206.8,5.0,5.0,0.0,257.29,64.4,432.8
339,1.34,359.3,13.0,11.0,0.0,483.49,173.0,571.5
340,1.303,239.6,3.0,6.0,2.0,312.32,76.7,559.2
341,1.84,123.8,0.0,7.0,4.0,228.21,110.0,632.3
342,1.42,235.2,5.0,6.0,2.0,335.74,92.7,514.5
343,1.056,377.1,10.0,4.0,2.0,398.54,74.6,595.0
344,1.409,188.9,6.0,6.0,3.0,266.25,96.2,554.2
345,1.42,250.6,2.0,6.0,1.0,356.37,86.0,665.9
346,1.05,567.4,8.0,7.0,1.0,600.83,83.5,715.1
347,1.19,341.1,8.0,8.0,1.0,406.47,94.2,555.4
348,1.234,277.3,6.0,4.0,1.0,342.46,61.6,543.9
349,1.128,345.9,5.0,3.0,1.0,390.52,38.7,523.2
350,1.374,266.4,7.0,4.0,1.0,366.25,49.8,551.0
351,0.98,222.7,3.0,2.0,0.0,219.36,22.1,264.5
352,1.428,203.0,3.0,6.0,0.0,290.2,83.2,397.8
353,1.009,226.3,5.0,4.0,0.0,228.36,32.8,271.3
354,1.52,195.1,5.0,6.0,1.0,297.36,135.0,532.6
355,1.14,217.7,4.0,4.0,0.0,248.27,44.8,397.2
356,1.47,202.7,2.0,6.0,1.0,299.28,83.9,548.6
357,1.37,243.4,2.0,4.0,1.0,334.37,47.9,567.4
358,2.15,201.4,6.0,9.0,4.0,435.22,129.0,710.6
359,1.247,192.6,6.0,4.0,0.0,240.28,80.8,359.5
360,1.08,166.4,4.0,4.0,0.0,180.2,44.1,353.7
361,1.035,244.7,2.0,1.0,1.0,253.38,15.8,407.9
362,1.36,203.9,1.0,4.0,1.0,278.73,50.7,
363,1.32,375.9,12.0,11.0,0.0,498.42,158.0,590.9
364,1.222,205.7,2.0,0.0,0.0,251.58,0.0,334.2
365,0.969,191.1,2.0,1.0,0.0,185.27,23.8,323.5
366,1.184,213.9,1.0,3.0,0.0,253.3,29.5,431.5
367,,,4.0,1.0,0.0,257.74,16.8,130.0
368,1.34,230.0,1.0,2.0,0.0,308.42,75.2,487.0
369,1.184,277.1,9.0,6.0,0.0,328.3,80.9,467.5
370,1.37,207.9,5.0,4.0,0.0,286.2,44.1,259.0
371,1.663,209.9,5.0,5.0,0.0,349.12,72.1,384.5
372,1.45,202.8,6.0,8.0,0.0,294.3,112.0,426.1
373,1.004,400.7,10.0,6.0,1.0,402.6,74.2,457.3
374,1.22,300.5,7.0,6.0,2.0,367.44,74.6,656.0
375,1.38,237.8,4.0,6.0,1.0,329.38,98.5,497.6
376,1.05,255.2,5.0,4.0,0.0,270.33,44.1,397.7
377,1.752,209.9,6.0,5.0,2.0,368.02,71.2,475.2
378,1.304,248.0,3.0,4.0,0.0,323.43,83.2,504.8
379,1.564,158.5,4.0,4.0,1.0,248.07,51.6,427.9
380,1.267,329.2,1.0,3.0,0.0,417.5,37.4,633.3
381,1.26,522.5,14.0,13.0,0.0,662.72,170.0,675.5
382,1.49,181.0,2.0,3.0,0.0,270.76,90.1,391.0
383,0.999,213.3,6.0,4.0,1.0,213.27,55.4,350.3
384,1.5,343.2,8.0,11.0,2.0,517.58,184.0,662.6
385,,,,,,,,
386,1.106,191.8,2.0,0.0,0.0,212.21,0.0,232.4
387,1.479,446.5,6.0,11.0,4.0,660.67,149.0,932.5
388,1.287,278.4,0.0,4.0,0.0,358.48,94.8,583.2
389,1.31,242.0,7.0,7.0,2.0,317.34,102.0,482.9
390,1.36,291.0,4.0,6.0,1.0,398.5,63.9,560.0
391,1.31,238.3,4.0,7.0,1.0,313.35,68.3,
392,1.18,222.6,3.0,4.0,0.0,262.74,33.4,433.8
393,1.66,881.2,39.0,35.0,17.0,1471.37,534.0,
394,1.974,220.2,3.0,2.0,0.0,434.9,26.3,397.7
395,1.05,533.5,7.0,6.0,0.0,562.89,63.2,550.7
396,1.2,268.7,5.0,5.0,0.0,323.34,65.0,481.3
397,1.41,230.6,3.0,2.0,0.0,326.28,51.6,377.6
398,1.16,184.0,2.0,4.0,2.0,214.27,56.2,426.8
399,1.092,231.8,6.0,5.0,0.0,253.29,64.3,354.1
400,1.1,206.1,7.0,5.0,0.0,227.26,49.7,284.9
